country_name,country_text_id,COWcode,year,v2x_polyarchy,dem_culture,pred_const,gap_const,pred_culture,gap_culture
Eritrea,ERI,531,2016,0.069,6.88,0.5198643598949513,-0.45086435989495127,0.6605622646210031,-0.591562264621003
Vietnam,VNM,816,2016,0.15,6.88,0.529028210152383,-0.37902821015238297,0.7094443201172311,-0.5594443201172311
Uganda,UGA,500,2016,0.289,6.88,0.5877072902860407,-0.29870729028604076,0.7888836919654675,-0.4998836919654675
China,CHN,710,2016,0.08,6.25,0.4109421319035737,-0.3309421319035737,0.49480722508191277,-0.41480722508191276
North Korea,PRK,731,2016,0.085,1.25,0.536562573034298,-0.451562573034298,0.47009228252028684,-0.3850922825202868
Qatar,QAT,694,2016,0.04,5.63,0.45052708077298736,-0.4105270807729874,0.41475730425815005,-0.37475730425815007
Ethiopia,ETH,530,2016,0.226,5.63,0.5506433682946531,-0.3246433682946531,0.5561365740254779,-0.3301365740254779
Tajikistan,TJK,702,2016,0.174,6.25,0.5190522331738318,-0.34505223317383177,0.5018496373729957,-0.3278496373729957
Belarus,BLR,370,2016,0.256,6.25,0.5198643598949513,-0.2638643598949513,0.5830112499690131,-0.3270112499690131
Sudan,SDN,625,2016,0.219,5.0,0.600502754283133,-0.38150275428313307,0.5300140784237268,-0.31101407842372686
Zambia,ZMB,551,2016,0.397,6.88,0.6055607613089266,-0.20856076130892653,0.7001006946598245,-0.3031006946598245
Iran,IRN,630,2016,0.186,3.13,0.536562573034298,-0.350562573034298,0.48551409661918205,-0.29951409661918205
Azerbaijan,AZE,373,2016,0.199,3.75,0.5534697883559451,-0.35446978835594506,0.4911029002302562,-0.2921029002302562
The Gambia,GMB,420,2016,0.25,5.0,0.5988665107208152,-0.3488665107208152,0.5391925866602921,-0.28919258666029213
Morocco,MAR,600,2016,0.266,5.63,0.505560533031579,-0.23956053303157898,0.5388766940993243,-0.27287669409932425
Saudi Arabia,SAU,670,2016,0.016,3.13,0.5076331236176064,-0.49163312361760636,0.28337301653190405,-0.26737301653190404
Angola,AGO,540,2016,0.29,4.38,0.536562573034298,-0.24656257303429802,0.5512011968686011,-0.26120119686860116
Nicaragua,NIC,93,2016,0.305,5.63,0.536562573034298,-0.231562573034298,0.5646990770484657,-0.2596990770484657
Chad,TCD,483,2016,0.28,3.75,0.536562573034298,-0.25656257303429797,0.5328343985800025,-0.25283439858000245
Burundi,BDI,516,2016,0.166,5.0,0.4981255545218548,-0.33212555452185477,0.4072762749240095,-0.24127627492400947
Venezuela,VEN,101,2016,0.293,4.38,0.5131696790048454,-0.22016967900484546,0.5259709753997266,-0.2329709753997266
Djibouti,DJI,522,2016,0.243,5.63,0.6465062205093413,-0.40350622050934126,0.4737898627732053,-0.2307898627732053
Armenia,ARM,371,2016,0.348,1.88,0.5854925689438496,-0.23749256894384962,0.5697484467289894,-0.2217484467289894
Republic of the Congo,COG,484,2016,0.247,3.75,0.4521627684722196,-0.2051627684722196,0.4655514053334028,-0.21855140533340278
Burma/Myanmar,MMR,775,2016,0.402,6.88,0.5155844735296894,-0.11358447352968937,0.6168115339545578,-0.21481153395455777
Zimbabwe,ZWE,552,2016,0.297,5.63,0.4815826589019136,-0.1845826589019136,0.5091967780938698,-0.21219677809386978
Eswatini,SWZ,572,2016,0.131,5.63,0.32931693881537794,-0.19831693881537793,0.34243369563526216,-0.21143369563526215
United Arab Emirates,ARE,696,2016,0.1,5.0,0.49369134245911395,-0.39369134245911397,0.3075078400099317,-0.2075078400099317
Türkiye,TUR,640,2016,0.308,5.63,0.5673823213399471,-0.25938232133994715,0.5065851125835209,-0.1985851125835209
Laos,LAO,812,2016,0.093,5.0,0.3482328282409753,-0.25523282824097526,0.255302948353292,-0.16230294835329198
Democratic Republic of the Congo,COD,490,2016,0.305,4.38,0.5099538336109287,-0.20495383361092873,0.45988411980867905,-0.15488411980867905
Uzbekistan,UZB,704,2016,0.169,5.0,0.5198643598949513,-0.35086435989495124,0.31541761121181033,-0.14641761121181032
Equatorial Guinea,GNQ,411,2016,0.18,4.38,0.42759217616821266,-0.24759217616821266,0.3204004486611087,-0.14040044866110873
Malaysia,MYS,820,2016,0.328,6.25,0.42229739290108437,-0.09429739290108435,0.46729471800382255,-0.13929471800382254
Mauritius,MUS,590,2016,0.731,8.75,0.6436802502732739,0.08731974972672607,0.8624082352486748,-0.13140823524867484
Algeria,DZA,615,2016,0.308,5.0,0.529028210152383,-0.221028210152383,0.4371278871333525,-0.1291278871333525
Kyrgyzstan,KGZ,703,2016,0.447,3.75,0.5198643598949513,-0.07286435989495127,0.5707914999824559,-0.12379149998245592
Singapore,SGP,830,2016,0.424,6.25,0.6312328601034839,-0.2072328601034839,0.5437273210266295,-0.11972732102662947
Central African Republic,CAF,482,2016,0.4,2.5,0.536562573034298,-0.13656257303429797,0.5138636706077455,-0.11386367060774549
Bahrain,BHR,692,2016,0.139,4.38,0.31178527363854225,-0.17278527363854224,0.24814529551858172,-0.10914529551858171
Bangladesh,BGD,771,2016,0.269,4.38,0.5198643598949513,-0.25086435989495126,0.3742511826349353,-0.10525118263493527
Cambodia,KHM,811,2016,0.275,5.0,0.44913650842618574,-0.17413650842618572,0.3801430351294919,-0.10514303512949186
Mozambique,MOZ,541,2016,0.433,5.0,0.5790278919901722,-0.14602789199017224,0.5376207823868753,-0.10462078238687528
Cameroon,CMR,471,2016,0.307,4.38,0.4972212287268836,-0.19022122872688363,0.4089568892121078,-0.10195688921210783
Cuba,CUB,40,2016,0.169,4.38,0.4238393009673007,-0.2548393009673007,0.2708632114164002,-0.10186321141640017
Kazakhstan,KAZ,705,2016,0.242,4.38,0.48833996057290086,-0.24633996057290086,0.3422876543981508,-0.1002876543981508
Afghanistan,AFG,700,2016,0.34,2.5,0.5198643598949513,-0.17986435989495125,0.43996000338043834,-0.09996000338043831
Honduras,HND,91,2016,0.425,4.38,0.5298648468969588,-0.1048648468969588,0.5239512006127276,-0.09895120061272761
Haiti,HTI,41,2016,0.42,3.75,0.5615309152131269,-0.14153091521312694,0.5172031878921992,-0.09720318789219923
Libya,LBY,620,2016,0.285,5.63,0.5198643598949513,-0.2348643598949513,0.37960021240147823,-0.09460021240147826
Ukraine,UKR,369,2016,0.433,5.0,0.536562573034298,-0.103562573034298,0.5266413182497557,-0.09364131824975569
Oman,OMN,698,2016,0.175,4.38,0.4476671978889216,-0.27266719788892163,0.2642117652928585,-0.08921176529285851
Sierra Leone,SLE,451,2016,0.514,6.25,0.536562573034298,-0.022562573034297984,0.5979323569405538,-0.08393235694055379
Rwanda,RWA,517,2016,0.226,4.38,0.340360379511874,-0.11436037951187397,0.307984415144564,-0.08198441514456398
North Macedonia,MKD,343,2016,0.449,3.75,0.5992678650584516,-0.15026786505845163,0.5290027369426895,-0.0800027369426895
Jordan,JOR,663,2016,0.239,4.38,0.5970294180610816,-0.3580294180610816,0.3189342436012732,-0.07993424360127321
Israel,ISR,666,2016,0.729,7.5,0.5569577519981476,0.17204224800185242,0.8079513325457113,-0.0789513325457113
Gabon,GAB,481,2016,0.378,5.63,0.5131696790048454,-0.13516967900484544,0.45599733044971236,-0.07799733044971235
Egypt,EGY,651,2016,0.178,3.75,0.36518715582486805,-0.18718715582486806,0.2553448947816186,-0.0773448947816186
Timor-Leste,TLS,860,2016,0.628,6.88,0.5198643598949513,0.10813564010504872,0.7047071364134156,-0.07670713641341564
Botswana,BWA,571,2016,0.685,7.5,0.5198643598949513,0.16513564010504878,0.7521196622514406,-0.0671196622514405
Comoros,COM,581,2016,0.385,3.75,0.529028210152383,-0.14402821015238298,0.45203737576555647,-0.06703737576555646
Mauritania,MRT,435,2016,0.431,3.13,0.529028210152383,-0.098028210152383,0.4961670648371512,-0.06516706483715118
Guinea,GIN,438,2016,0.377,4.38,0.47994807244198023,-0.10294807244198023,0.43128566797634027,-0.05428566797634027
Tanzania,TZA,510,2016,0.409,6.25,0.5080501106477744,-0.09905011064777441,0.4598333468359276,-0.050833346835927606
Fiji,FJI,950,2016,0.397,5.63,0.4452739370355229,-0.04827393703552291,0.4460702328355973,-0.049070232835597305
Montenegro,MNE,341,2016,0.484,4.38,0.5948271593045672,-0.11082715930456721,0.531656030602639,-0.04765603060263901
Papua New Guinea,PNG,910,2016,0.445,5.63,0.5190465941164792,-0.07404659411647924,0.48309471974428814,-0.03809471974428813
Mali,MLI,432,2016,0.543,6.25,0.5290455917960128,0.01395440820398719,0.5773766305167163,-0.034376630516716244
South Korea,KOR,732,2016,0.718,7.5,0.529028210152383,0.18897178984761698,0.7450885438201708,-0.027088543820170785
Albania,ALB,339,2016,0.52,5.0,0.536562573034298,-0.016562573034297978,0.543336734365824,-0.023336734365823952
Malawi,MWI,553,2016,0.538,6.25,0.5174454134628738,0.020554586537126274,0.5607647488511041,-0.022764748851104022
Hungary,HUN,310,2016,0.613,6.88,0.5190522331738318,0.09394776682616823,0.6296421642479488,-0.016642164247948843
Togo,TGO,461,2016,0.472,5.0,0.5293717055794569,-0.05737170557945692,0.48748212577566225,-0.01548212577566227
Sri Lanka,LKA,780,2016,0.595,6.88,0.5080501106477744,0.08694988935222558,0.6079228805582306,-0.012922880558230654
Moldova,MDA,359,2016,0.529,4.38,0.5198643598949513,0.009135640105048748,0.5406586553865617,-0.011658655386561634
Russia,RUS,365,2016,0.263,2.5,0.5873053814153478,-0.3243053814153478,0.2665780218272028,-0.003578021827202793
Kenya,KEN,501,2016,0.534,5.63,0.5198643598949513,0.014135640105048752,0.5359121904697707,-0.001912190469770647
Argentina,ARG,160,2016,0.751,6.88,0.650744153943499,0.10025584605650095,0.7474539331649347,0.003546066835065309
Malta,MLT,338,2016,0.777,8.75,0.5198643598949513,0.25713564010504875,0.771317202480557,0.005682797519443006
Iraq,IRQ,645,2016,0.39,4.38,0.434508660401123,-0.044508660401123,0.3802291692979032,0.009770830702096833
United States of America,USA,2,2016,0.885,8.13,0.7040158778708955,0.18098412212910453,0.8743620973473984,0.01063790265260156
Philippines,PHL,840,2016,0.485,4.38,0.5531108193381219,-0.06811081933812191,0.46987207054854374,0.015127929451456246
Kuwait,KWT,690,2016,0.311,4.38,0.5080501106477744,-0.1970501106477744,0.2921831458285029,0.01881685417149709
Spain,ESP,230,2016,0.847,8.13,0.5874993559998767,0.2595006440001233,0.8176219289312174,0.02937807106878254
Dominican Republic,DOM,42,2016,0.571,6.25,0.4155619309712243,0.15543806902877566,0.5327764286886918,0.03822357131130816
Nigeria,NGA,475,2016,0.555,4.38,0.6079611572177348,-0.052961157217734756,0.5026133628993629,0.05238663710063718
Japan,JPN,740,2016,0.817,7.5,0.5198643598949513,0.29713564010504867,0.7637480475201548,0.053251952479845155
Guinea-Bissau,GNB,404,2016,0.5,3.13,0.529028210152383,-0.029028210152382994,0.442104088228231,0.057895911771769004
Paraguay,PRY,150,2016,0.589,4.38,0.5066378776465069,0.08236212235349305,0.5219680830430529,0.0670319169569471
