country_name,country_text_id,COWcode,year,v2x_delibdem,pred,residual
Burundi,BDI,516,2016,0.042,0.4165489200102638,-0.3745489200102638
Azerbaijan,AZE,373,2016,0.045,0.3888078248347492,-0.3438078248347492
Nicaragua,NIC,93,2016,0.133,0.4742500556786057,-0.34125005567860567
The Gambia,GMB,420,2016,0.088,0.4149968520290517,-0.3269968520290517
Eritrea,ERI,531,2016,0.021,0.34581654016795865,-0.32481654016795863
Sudan,SDN,625,2016,0.06,0.36508737469603336,-0.30508737469603336
Tajikistan,TJK,702,2016,0.047,0.3443032714943637,-0.2973032714943637
Uzbekistan,UZB,704,2016,0.062,0.3553273423234967,-0.2933273423234967
Türkiye,TUR,640,2016,0.098,0.3886294227354783,-0.2906294227354783
Venezuela,VEN,101,2016,0.061,0.34924098759048994,-0.28824098759048994
Maldives,MDV,781,2016,0.192,0.47841048817571585,-0.28641048817571585
Belarus,BLR,370,2016,0.098,0.3824304225920273,-0.28443042259202733
North Korea,PRK,731,2016,0.009,0.2839689352081696,-0.2749689352081696
Egypt,EGY,651,2016,0.109,0.382433292586378,-0.273433292586378
Democratic Republic of the Congo,COD,490,2016,0.123,0.36432636514749006,-0.24132636514749006
Kazakhstan,KAZ,705,2016,0.116,0.3549816245132119,-0.23898162451321192
Saudi Arabia,SAU,670,2016,0.05,0.2864382807916255,-0.2364382807916255
Eswatini,SWZ,572,2016,0.089,0.31579160312842963,-0.22679160312842964
Equatorial Guinea,GNQ,411,2016,0.061,0.28252556701887016,-0.22152556701887016
Angola,AGO,540,2016,0.12,0.3404656605501133,-0.2204656605501133
Papua New Guinea,PNG,910,2016,0.26,0.46823926266331833,-0.20823926266331833
Laos,LAO,812,2016,0.054,0.25671746511595955,-0.20271746511595956
Qatar,QAT,694,2016,0.09,0.29105521453783634,-0.20105521453783634
Russia,RUS,365,2016,0.146,0.3443032714943637,-0.1983032714943637
Ethiopia,ETH,530,2016,0.146,0.3404656605501133,-0.1944656605501133
Guinea,GIN,438,2016,0.152,0.34405351983483956,-0.19205351983483956
Oman,OMN,698,2016,0.071,0.2554449728027905,-0.18444497280279049
Republic of the Congo,COG,484,2016,0.159,0.3404656605501133,-0.1814656605501133
Uganda,UGA,500,2016,0.243,0.42412067581043456,-0.18112067581043456
Zimbabwe,ZWE,552,2016,0.232,0.41175832424907355,-0.17975832424907354
Chad,TCD,483,2016,0.121,0.28724228291315423,-0.16624228291315424
Cuba,CUB,40,2016,0.082,0.2272004378226369,-0.14520043782263692
Armenia,ARM,371,2016,0.227,0.37041014785192206,-0.14341014785192205
Madagascar,MDG,580,2016,0.273,0.39879174411506835,-0.12579174411506833
Rwanda,RWA,517,2016,0.209,0.33447028678929286,-0.12547028678929287
Fiji,FJI,950,2016,0.286,0.41125589916357885,-0.12525589916357888
Bangladesh,BGD,771,2016,0.14,0.2591015725712092,-0.11910157257120918
Cameroon,CMR,471,2016,0.133,0.24493281094712732,-0.11193281094712731
Albania,ALB,339,2016,0.29,0.39390172132123924,-0.10390172132123926
Montenegro,MNE,341,2016,0.396,0.499341311760033,-0.10334131176003297
Afghanistan,AFG,700,2016,0.257,0.35726802400532087,-0.10026802400532087
Zambia,ZMB,551,2016,0.262,0.3612667899377701,-0.0992667899377701
China,CHN,710,2016,0.149,0.24529871531711717,-0.09629871531711717
United Arab Emirates,ARE,696,2016,0.087,0.1827501695043015,-0.09575016950430151
Morocco,MAR,600,2016,0.255,0.3443516713448042,-0.0893516713448042
Djibouti,DJI,522,2016,0.138,0.22276444685129104,-0.08476444685129103
Bahrain,BHR,692,2016,0.047,0.12929529685839977,-0.08229529685839977
Cambodia,KHM,811,2016,0.128,0.2055736368251127,-0.0775736368251127
Kenya,KEN,501,2016,0.435,0.5101494738313392,-0.07514947383133924
North Macedonia,MKD,343,2016,0.269,0.34405351983483956,-0.07505351983483954
Iraq,IRQ,645,2016,0.269,0.33630836505553574,-0.06730836505553572
Iran,IRN,630,2016,0.18,0.24447873402631715,-0.06447873402631715
Kyrgyzstan,KGZ,703,2016,0.383,0.4430087811177506,-0.0600087811177506
Haiti,HTI,41,2016,0.265,0.32409842717802484,-0.059098427178024826
Moldova,MDA,359,2016,0.354,0.41256213967957994,-0.05856213967957996
Ukraine,UKR,369,2016,0.357,0.40951165066525963,-0.052511650665259646
Central African Republic,CAF,482,2016,0.256,0.307252040518199,-0.05125204051819898
Guatemala,GTM,90,2016,0.378,0.4221930519277548,-0.0441930519277548
Honduras,HND,91,2016,0.288,0.327293247122495,-0.039293247122495045
Jordan,JOR,663,2016,0.196,0.2349611312446109,-0.0389611312446109
Togo,TGO,461,2016,0.374,0.40578406647291254,-0.03178406647291254
Mozambique,MOZ,541,2016,0.296,0.32629980389257723,-0.03029980389257725
