country_name,country_text_id,COWcode,year,v2x_egaldem,pred,residual
Azerbaijan,AZE,373,2016,0.129,0.412442317297142,-0.283442317297142
Sudan,SDN,625,2016,0.062,0.3428221393327089,-0.2808221393327089
Tajikistan,TJK,702,2016,0.075,0.34260335682030446,-0.26760335682030445
Nicaragua,NIC,93,2016,0.161,0.4236446267060087,-0.26264462670600874
Uzbekistan,UZB,704,2016,0.133,0.3921415038952272,-0.25914150389522717
Burundi,BDI,516,2016,0.112,0.36663087335130695,-0.25463087335130696
Uganda,UGA,500,2016,0.181,0.4326500029721676,-0.2516500029721676
Eswatini,SWZ,572,2016,0.093,0.33589560042460936,-0.24289560042460936
Republic of the Congo,COG,484,2016,0.103,0.32911461934210245,-0.22611461934210247
Angola,AGO,540,2016,0.099,0.32156654814718544,-0.22256654814718543
Maldives,MDV,781,2016,0.245,0.46661989130497494,-0.22161989130497495
Papua New Guinea,PNG,910,2016,0.25,0.4689996839415423,-0.2189996839415423
Eritrea,ERI,531,2016,0.149,0.3649162924104402,-0.21591629241044022
North Korea,PRK,731,2016,0.088,0.30348010811328097,-0.21548010811328097
Egypt,EGY,651,2016,0.091,0.30570491170472897,-0.21470491170472897
China,CHN,710,2016,0.095,0.30917846052242887,-0.21417846052242887
The Gambia,GMB,420,2016,0.178,0.38906326323451923,-0.21106326323451924
Ethiopia,ETH,530,2016,0.15,0.3436932912370361,-0.19369329123703613
Zimbabwe,ZWE,552,2016,0.186,0.3767558918408643,-0.19075589184086428
Chad,TCD,483,2016,0.099,0.28968634111393843,-0.19068634111393842
Equatorial Guinea,GNQ,411,2016,0.106,0.2956934095004582,-0.1896934095004582
Qatar,QAT,694,2016,0.114,0.3001968981085614,-0.18619689810856144
Timor-Leste,TLS,860,2016,0.386,0.5717607903736659,-0.18576079037366588
Iran,IRN,630,2016,0.174,0.3581309507800589,-0.18413095078005892
Saudi Arabia,SAU,670,2016,0.103,0.2765981435653695,-0.1735981435653695
Laos,LAO,812,2016,0.098,0.2693359737776131,-0.1713359737776131
Haiti,HTI,41,2016,0.134,0.2969948027414583,-0.16299480274145828
Bangladesh,BGD,771,2016,0.118,0.27715329240600356,-0.15915329240600357
Kazakhstan,KAZ,705,2016,0.182,0.34013294753306955,-0.15813294753306956
