country_name,country_text_id,COWcode,year,v2x_libdem,pred,residual
Eritrea,ERI,531,2016,0.006,0.45257000064406344,-0.44657000064406344
Nicaragua,NIC,93,2016,0.12,0.5094611883985773,-0.38946118839857735
Sudan,SDN,625,2016,0.064,0.3966476468171617,-0.3326476468171617
Azerbaijan,AZE,373,2016,0.062,0.3800560181461915,-0.3180560181461915
Belarus,BLR,370,2016,0.107,0.417755055431705,-0.310755055431705
Tajikistan,TJK,702,2016,0.039,0.3451903553150946,-0.30619035531509464
Democratic Republic of the Congo,COD,490,2016,0.119,0.40257812057233777,-0.2835781205723378
Burundi,BDI,516,2016,0.046,0.3188750338205932,-0.2728750338205932
The Gambia,GMB,420,2016,0.11,0.3821226974574131,-0.27212269745741313
North Korea,PRK,731,2016,0.014,0.28384896817140964,-0.26984896817140963
Uzbekistan,UZB,704,2016,0.037,0.29036394722155867,-0.2533639472215587
Republic of the Congo,COG,484,2016,0.101,0.34971407164758833,-0.24871407164758833
Russia,RUS,365,2016,0.106,0.3525074365372608,-0.24650743653726082
Venezuela,VEN,101,2016,0.118,0.3616559109854486,-0.2436559109854486
Morocco,MAR,600,2016,0.231,0.4594896317290954,-0.2284896317290954
Kyrgyzstan,KGZ,703,2016,0.303,0.528845420069508,-0.22584542006950797
Ethiopia,ETH,530,2016,0.099,0.3188750338205932,-0.21987503382059317
Angola,AGO,540,2016,0.123,0.34223788582508624,-0.21923788582508624
Kazakhstan,KAZ,705,2016,0.114,0.32828356277180537,-0.21428356277180538
Equatorial Guinea,GNQ,411,2016,0.051,0.2615057125498496,-0.21050571254984962
Egypt,EGY,651,2016,0.122,0.3317786175915842,-0.20977861759158423
Qatar,QAT,694,2016,0.089,0.29036394722155867,-0.20136394722155868
Chad,TCD,483,2016,0.092,0.29298230155334903,-0.20098230155334904
Bangladesh,BGD,771,2016,0.106,0.30649333043087607,-0.20049333043087608
Bahrain,BHR,692,2016,0.051,0.24825817209467238,-0.1972581720946724
United Arab Emirates,ARE,696,2016,0.091,0.2854313146404333,-0.1944313146404333
Uganda,UGA,500,2016,0.205,0.38628887569820336,-0.18128887569820337
North Macedonia,MKD,343,2016,0.279,0.45811295649137407,-0.17911295649137404
Eswatini,SWZ,572,2016,0.097,0.27389985242303744,-0.17689985242303743
Türkiye,TUR,640,2016,0.143,0.3188750338205932,-0.1758750338205932
China,CHN,710,2016,0.052,0.22329842810576842,-0.17129842810576842
Iran,IRN,630,2016,0.137,0.3025887770792134,-0.16558877707921338
Oman,OMN,698,2016,0.141,0.30225359153775155,-0.16125359153775157
Bolivia,BOL,145,2016,0.375,0.5360607420113018,-0.16106074201130183
Rwanda,RWA,517,2016,0.128,0.28345064663358255,-0.15545064663358255
Maldives,MDV,781,2016,0.182,0.3365263281092604,-0.15452632810926042
Vietnam,VNM,816,2016,0.117,0.26801010992704133,-0.15101010992704134
Guinea,GIN,438,2016,0.166,0.31590129752344787,-0.14990129752344786
Afghanistan,AFG,700,2016,0.188,0.3365263281092604,-0.14852632810926042
Ukraine,UKR,369,2016,0.24,0.3781072427506654,-0.13810724275066538
Togo,TGO,461,2016,0.26,0.3967122911790006,-0.13671229117900058
Zimbabwe,ZWE,552,2016,0.203,0.3314141776419832,-0.1284141776419832
Armenia,ARM,371,2016,0.204,0.3314141776419832,-0.12741417764198323
Cuba,CUB,40,2016,0.055,0.17614998320549327,-0.12114998320549328
Mauritania,MRT,435,2016,0.178,0.2854313146404333,-0.10743131464043332
Saudi Arabia,SAU,670,2016,0.044,0.15140792186563806,-0.10740792186563806
Cambodia,KHM,811,2016,0.103,0.2038875851471765,-0.10088758514717651
Madagascar,MDG,580,2016,0.258,0.3565030273178932,-0.09850302731789318
Cameroon,CMR,471,2016,0.139,0.23500195383587094,-0.09600195383587093
Jordan,JOR,663,2016,0.195,0.29036394722155867,-0.09536394722155866
Iraq,IRQ,645,2016,0.238,0.3314141776419832,-0.09341417764198323
Djibouti,DJI,522,2016,0.114,0.2059888056355933,-0.0919888056355933
Burma/Myanmar,MMR,775,2016,0.226,0.3160321277492661,-0.09003212774926608
Haiti,HTI,41,2016,0.255,0.33987365643552764,-0.08487365643552763
Malaysia,MYS,820,2016,0.202,0.2854313146404333,-0.0834313146404333
Sierra Leone,SLE,451,2016,0.314,0.3944526977285898,-0.08045269772858982
Laos,LAO,812,2016,0.088,0.16761718654308583,-0.07961718654308583
Fiji,FJI,950,2016,0.275,0.35186691776079826,-0.07686691776079824
Gabon,GAB,481,2016,0.224,0.29617854456226966,-0.07217854456226966
Ecuador,ECU,130,2016,0.264,0.3314141776419832,-0.06741417764198321
Mozambique,MOZ,541,2016,0.292,0.35893171192294954,-0.06693171192294955
Algeria,DZA,615,2016,0.165,0.2308196228484251,-0.0658196228484251
Honduras,HND,91,2016,0.254,0.31275168326999164,-0.05875168326999164
Bhutan,BTN,760,2016,0.471,0.5239061892289003,-0.052906189228900335
Singapore,SGP,830,2016,0.337,0.38888021208027784,-0.05188021208027782
Central African Republic,CAF,482,2016,0.231,0.253808346601793,-0.02280834660179301
Comoros,COM,581,2016,0.239,0.25346344905664586,-0.014463449056645872
Tanzania,TZA,510,2016,0.355,0.36911634117036773,-0.014116341170367752
Colombia,COL,100,2016,0.547,0.5580694938087838,-0.011069493808783748
Libya,LBY,620,2016,0.17,0.173646840243931,-0.003646840243930999
Kosovo,XKX,347,2016,0.454,0.4511530410855582,0.0028469589144418106
Pakistan,PAK,770,2016,0.258,0.2531565687966338,0.004843431203366222
Mexico,MEX,70,2016,0.434,0.4283917101928408,0.005608289807159217
Philippines,PHL,840,2016,0.346,0.3365263281092604,0.009473671890739555
Papua New Guinea,PNG,910,2016,0.346,0.33441989312316633,0.01158010687683364
Dominican Republic,DOM,42,2016,0.333,0.3188750338205932,0.01412496617940684
Zambia,ZMB,551,2016,0.328,0.31241446952952323,0.015585530470476783
Ivory Coast,CIV,437,2016,0.335,0.3188750338205932,0.01612496617940684
Sri Lanka,LKA,780,2016,0.45,0.43037527390578567,0.01962472609421434
Poland,POL,290,2016,0.598,0.560873243874964,0.03712675612503602
Indonesia,IDN,850,2016,0.496,0.4586630110769342,0.037336988923065806
Paraguay,PRY,150,2016,0.414,0.36706970997744026,0.04693029002255972
Montenegro,MNE,341,2016,0.383,0.3188750338205932,0.06412496617940683
Liberia,LBR,450,2016,0.452,0.3834412555157738,0.06855874448422622
Seychelles,SYC,591,2016,0.491,0.40971171261801775,0.08128828738198224
Bosnia and Herzegovina,BIH,346,2016,0.358,0.269284588293129,0.08871541170687097
Nigeria,NGA,475,2016,0.395,0.30056097362446044,0.09443902637553958
Moldova,MDA,359,2016,0.433,0.3365263281092604,0.09647367189073958
India,IND,750,2016,0.406,0.30649333043087607,0.09950666956912396
Malawi,MWI,553,2016,0.442,0.34049110187536547,0.10150889812463454
Kenya,KEN,501,2016,0.421,0.3188750338205932,0.1021249661794068
Guatemala,GTM,90,2016,0.451,0.3376355400717576,0.1133644599282424
Lebanon,LBN,660,2016,0.296,0.18003558102119074,0.11596441897880924
Guinea-Bissau,GNB,404,2016,0.289,0.17281439034887164,0.11618560965112834
Albania,ALB,339,2016,0.436,0.3188750338205932,0.11712496617940682
Lesotho,LSO,570,2016,0.424,0.3047498221453643,0.11925017785463571
Mongolia,MNG,712,2016,0.548,0.41963761922520637,0.12836238077479367
Mali,MLI,432,2016,0.349,0.2137477319767675,0.13525226802323248
Timor-Leste,TLS,860,2016,0.46,0.3188750338205932,0.14112496617940684
Hungary,HUN,310,2016,0.474,0.3314141776419832,0.14258582235801676
Guyana,GUY,110,2016,0.456,0.31275168326999164,0.14324831673000837
Ghana,GHA,452,2016,0.61,0.46573710089067255,0.14426289910932744
Solomon Islands,SLB,940,2016,0.466,0.31261668098147755,0.15338331901852248
Kuwait,KWT,690,2016,0.281,0.12648782751074786,0.15451217248925217
El Salvador,SLV,92,2016,0.461,0.29877856745683457,0.16222143254316546
Barbados,BRB,53,2016,0.662,0.494271695799663,0.16772830420033702
Panama,PAN,95,2016,0.55,0.37492223485848764,0.1750777651415124
Burkina Faso,BFA,439,2016,0.504,0.3188750338205932,0.18512496617940682
Bulgaria,BGR,355,2016,0.561,0.3702206382773082,0.19077936172269183
Brazil,BRA,140,2016,0.653,0.45853194049570123,0.1944680595042988
Argentina,ARG,160,2016,0.612,0.4174984602442587,0.1945015397557413
Georgia,GEO,372,2016,0.518,0.31261668098147755,0.20538331901852247
Niger,NER,436,2016,0.459,0.25045318827976365,0.20854681172023637
Nepal,NPL,790,2016,0.557,0.3365263281092604,0.22047367189073963
Sao Tome and Principe,STP,403,2016,0.548,0.31275168326999164,0.2352483167300084
Botswana,BWA,571,2016,0.582,0.34191137476615086,0.2400886252338491
Slovakia,SVK,317,2016,0.726,0.4820700425497072,0.24392995745029278
Benin,BEN,434,2016,0.579,0.3188750338205932,0.2601249661794068
Namibia,NAM,565,2016,0.584,0.3106474306225728,0.2733525693774272
South Africa,ZAF,560,2016,0.645,0.3638705619570165,0.2811294380429835
Romania,ROU,360,2016,0.63,0.343783441082469,0.286216558917531
Malta,MLT,338,2016,0.572,0.275829904803461,0.296170095196539
Austria,AUT,305,2016,0.78,0.4744574756483452,0.30554252435165485
Senegal,SEN,433,2016,0.578,0.2651231340146057,0.31287686598539427
South Korea,KOR,732,2016,0.62,0.2970812438955623,0.3229187561044377
Croatia,HRV,344,2016,0.651,0.3188750338205932,0.33212496617940684
Israel,ISR,666,2016,0.646,0.31009820847053216,0.33590179152946786
Peru,PER,135,2016,0.673,0.3365263281092604,0.3364736718907396
