label,feature,importance
Transparency / info access,ccpc_transparency_information_access,12.043719826763214
Institutional accountability,ccpc_institutional_accountability,10.026857549917603
Civilian control of security,ccpc_civilian_control_of_security,9.83574011275726
Amendment rigidity,ccpc_amendment_rigidity,8.914050453589612
Emergency powers constraints,ccpc_emergency_powers_constraints,8.634883237181443
Civil liberties,ccpc_civil_liberties,7.944307947029783
Federalism / decentralization,ccpc_federalism_decentralization,7.016806497674096
Political competition,ccpc_political_competition,6.650400967152395
Legislative autonomy,ccpc_legislative_autonomy,5.556558805423628
Equality (gender/minority/indigenous),ccpc_equality_gender_minority_indigenous,5.507005133902508
Executive constraints,ccpc_executive_constraints,5.299141326796445
Judicial independence,ccpc_judicial_independence,5.17526335592735
Socioeconomic rights,ccpc_socioeconomic_rights,4.836791857725082
Rule of law / due process,ccpc_rule_of_law_due_process,2.558472928159596
